# artworks.csv - Artworks in each room
# Format: roomNumber,title,artist
1,The Virgin and Child with Saints,Duccio di Buoninsegna
2,The Baptism of Christ,Piero della Francesca
4,The Wilton Diptych,Unknown
5,The Arnolfini Portrait,Jan van Eyck
6,Venus and Mars,Sandro Botticelli
6,Mystic Nativity,Sandro Botticelli
7,The Virgin of the Rocks,Leonardo da Vinci
8,The Battle of San Romano,Paolo Uccello
9,The Annunciation,Fra Filippo Lippi
10,An Allegory with Venus and Cupid,Agnolo Bronzino
12,Doge Leonardo Loredan,Giovanni Bellini
14,Bacchus and Ariadne,Titian
14,The Entombment,Titian
15,The Origin of the Milky Way,Jacopo Tintoretto
16,Pope Julius II,Raphael
16,Saint Catherine of Alexandria,Raphael
17,The Ambassadors,Hans Holbein the Younger
18,Equestrian Portrait of Charles I,Anthony van Dyck
18,Samson and Delilah,Peter Paul Rubens
19,Self Portrait at the Age of 63,Rembrandt van Rijn
19,Belshazzar's Feast,Rembrandt van Rijn
20,Woman Standing at a Virginal,Johannes Vermeer
20,The Music Lesson,Johannes Vermeer
21,Sunflowers,Vincent van Gogh
21,Van Gogh's Chair,Vincent van Gogh
22,Wheat Field with Cypresses,Vincent van Gogh
23,A Young Woman standing at a Virginal,Johannes Vermeer
24,The Avenue at Middelharnis,Meindert Hobbema
25,Le Chapeau de Paille,Peter Paul Rubens
26,Minerva Protects Pax from Mars,Peter Paul Rubens
27,Portrait of Susanna Lunden,Anthony van Dyck
28,The Adoration of the Kings,Jan Gossaert
29,Portrait of Margaretha de Geer,Rembrandt van Rijn
30,The Rokeby Venus,Diego Velazquez
31,Christ after the Flagellation,Diego Velazquez
32,Landscape with the Marriage of Isaac and Rebekah,Claude Lorrain
32,The Enchanted Castle,Claude Lorrain
33,A Bacchanalian Revel before a Term,Nicolas Poussin
34,Saint John the Baptist,Caravaggio
35,The Supper at Emmaus,Caravaggio
36,The Stonemason's Yard,Canaletto
37,Monsieur de Lavoisier and his Wife,Jacques-Louis David
38,Bathers at Asnieres,Georges Seurat
39,Mr and Mrs Andrews,Thomas Gainsborough
39,The Morning Walk,Thomas Gainsborough
40,The Hay Wain,John Constable
41,The Fighting Temeraire,J.M.W. Turner
41,Rain Steam and Speed,J.M.W. Turner
42,Whistlejacket,George Stubbs
43,The Execution of Lady Jane Grey,Paul Delaroche
44,Ophelia,John Everett Millais
45,Bathers,Paul Cezanne
46,Umbrellas,Pierre-Auguste Renoir
46,Water-Lilies,Claude Monet
51,The Virgin and Child with Saint Anne,Leonardo da Vinci
52,The Adoration of the Magi,Gentile da Fabriano
53,Saint Michael,Piero della Francesca
54,Portrait of a Young Man at Prayer,Hans Memling
55,The Annunciation,Jan van Eyck
56,Portrait of a Man,Jan van Eyck
57,The Wilton Diptych,Unknown
58,The Virgin and Child with Saints,Duccio di Buoninsegna
59,The Virgin and Child,Cimabue
60,The Lamentation over the Dead Christ,Giovanni Bellini
61,The Virgin of the Annunciation,Carlo Crivelli
62,The Virgin and Child with Two Angels,Filippino Lippi
63,Apollo and Marsyas,Perugino
