roomNum1,roomNum2,distance,
1,2,20,
2,3,10,
3,4,10,
3,5,10,
4,10,10,
5,6,10,
6,7,10,
7,8,10,
8,9,20,
9,10,10,
10,11,10,
10,12,10,
11,64,20,
12,29,10,
13,29,30,
13,14,5,
13,15,20,
8,13,20,
8,15,20,
8,47,40,
15,16,10,
14,16,10,
16,17,5,
13,18,20,
18,19,10,
18,21,10,
18,22,10,
18,24,10,
19,20,10,
20,21,10,
22,23,10,
23,24,10,
24,25,10,
13,26,20,
18,26,20,
25,28,10,
26,27,10,
27,28,10,
28,29,10,
29,30,30,
30,31,10,
30,32,10,
30,65,10,
32,33,10,
32,37,10,
33,34,10,
34,35,10,
34,41,10,
35,36,10,
36,37,10,
36,40,10,
36,38,10,
38,39,10,
39,64,10,
40,44,10,
41,42,10,
41,43,20,
42,43,10,
43,44,10,
44,45,10,
45,66,40,
45,46,10,
46,66,40,
47,48,5,
47,49,10,
47,57,10,
49,50,10,
50,51,10,
50,56,10,
51,52,10,
52,53,10,
52,54,10,
54,55,10,
54,62,10,
55,56,10,
56,60,10,
56,57,10,
57,58,10,
58,59,10,
59,60,10,
60,61,10,
61,62,10,
62,63,10,
64,65,10,
45,64,30,
46,64,30,
64,66,30,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
