#roomNumber,roomName,artworks,artist
1,Room 1,Portrait of a Horse,Stubbs
2,Room 2,An Allegory with Venus and Cupid,Bronzino
3,Room 4,The Ambassadors,Hans Holbein the Younger
4,Room 5,Christ as 'The Light of the World',Paris Bordone
5,Room 6,The Madonna of the Cat ('La Madonna del Gatto'),Federico Barocci
6,Room 7,The Madonna of the Basket,Correggio
7,Room 8,Portrait of Vincenzo Morosini,Jacopo Tintoretto
8,Room 9,The Good Samaritan,Jacopo Bassano
9,Room 10,Christ carrying the Cross,Ambrogio Bergognone
10,Room 11,"Christina of Denmark, Duchess of Milan",Hans Holbein the Younger
11,Room 12,"The Triumphs of Caesar: 1, The Trumpeters",Andrea Mantegna
12,Room 14,The Virgin and Child,Ambrogio Bergognone
13,Room 15,Self Portrait at the Age of 34,Rembrandt
14,Room 15a,Portrait of a Man,Gonzales Coques
15,Room 16,The Market Place and the Grote Kerk at Haarlem,Gerrit Berckheyde
16,Room 17,A Woman playing a Lute to Two Men,Gerard ter Borch
17,Room 17a,A View of Delft,Carel Fabritius
18,Room 18,Drunken Silenus supported by Satyrs,Anthony van Dyck
19,Room 19,A Scene on the Ice near a Town,Hendrick Avercamp
20,Room 20,Tavern Scene,Adriaen Brouwer
21,Room 21,Charity,Anthony van Dyck
22,Room 22,A Bearded Man in a Cap,Rembrandt
23,Room 23,Flowers in a White Stone Vase,Dirck de Bray
24,Room 24,Lot and his Daughters,Abraham Bloemaert
25,Room 25,"Still Life with Strawberries, Gooseberries and Asparagus",Adriaen Coorte
26,Room 26,The Amazement of the Gods,Hans von Aachen
27,Room 27,Pan pursuing Syrinx,"Hendrick van Balen the Elder, Jan Brueghel the Elder"
28,Room 28,Still Life with Partridges,Willem van Aelst
29,Room 29,A Rocky Italian Landscape with Herdsmen and Muleteers,Jan Both
30,Room 30,The Immaculate Conception,Alonso Cano
31,Room 31,Venus with Mercury and Cupid ('The School of Love'),Correggio
32,The Julia and Hans Rausing Room,The Angel appears to Hagar and Ishmael,Gioacchino Assereto
33,Room 33,A Regatta on the Grand Canal,Canaletto
34,Blavatnik Family Foundation Room,"William Feilding, 1st Earl of Denbigh",Anthony van Dyck
35,Room 35,Landscape with a Watermill,Fran�ois Boucher
36,Room 36,Seaport with the Embarkation of the Queen of Sheba,Claude
37,Room 37,Portrait of Richard Milles,Pompeo Girolamo Batoni
38,Room 38,After the Audience,Lawrence Alma-Tadema
39,Room 39,"Ruined Column in the Baths of Caracalla, Rome",Th�odore Caruelle d'Aligny
40,Room 40,Cenotaph to the Memory of Sir Joshua Reynolds,John Constable
41,Room 41,"Dardagny, Morning",Jean-Baptiste-Camille Corot
42,Room 42,"After the Bath, Woman drying herself",Hilaire-Germain-Edgar Degas
43,Room 43,Ballet Dancers,Hilaire-Germain-Edgar Degas
44,Room 44,An Old Woman with a Rosary,Paul Cezanne
45,Room 45,Men of the Docks,George Bellows
46,Room 46,Grainstack (Sunset: winter),Claude Monet
47,Room 51,Portrait of a Young Man,Sandro Botticelli
48,Room 51a,The Burlington House Cartoon,Leonardo da Vinci
49,Room 52,Christ Crowned with Thorns,Dirk Bouts
50,Room 53,Adoration of the Kings,Gerard David
51,Room 54,Christ Mocked (The Crowning with Thorns),Hieronymus Bosch
52,Room 55,Christ taking Leave of his Mother,Albrecht Altdorfer
53,Room 56,Landscape with a Footbridge,Albrecht Altdorfer
54,Room 57,The Virgin and Child with Ten Saints,Andrea di Bonaiuto da Firenze
55,Room 58,The Annunciation,Duccio
56,Room 59,The Dead Christ supported by Two Angels,Giovanni Bellini
57,Room 60,The Virgin and Child Enthroned among Angels and Saints,Benozzo Gozzoli
58,Room 61,Saint John the Baptist,Lorenzo Costa
59,Room 62,Portrait of a Lady,Alesso Baldovinetti
60,Room 63,Christ Blessing,Antonello da Messina
61,Room 64,The Virgin and Child,�Antonello da Messina
62,Room 65,Pentecost,Barnaba da Modena
63,Room 66,Saint Michael,Piero della Francesca
64,Central Hall,Louis-Auguste Schwiter,Eug�ne Delacroix
65,Sunley Room,From the Shadows,Wright
66,Annenberg Court,Messengers,Bridget Riley
,,,
,,,
